Country,Year,Health Expenditure,Life Expectancy,GDP Per Capita,LOCATION
Finland,2007,3004.933,79.6,54681.714503,FIN
Finland,2008,3243.775,79.9,54681.714503,FIN
Finland,2009,3281.453,80.1,54681.714503,FIN
Finland,2010,3427.329,80.2,54681.714503,FIN
Finland,2011,3598.302,80.6,54681.714503,FIN
Finland,2012,3786.188,80.7,54681.714503,FIN
Finland,2013,3933.236,81.1,54681.714503,FIN
Finland,2014,3955.755,81.3,54681.714503,FIN
Finland,2015,3992.493,81.6,54681.714503,FIN
Finland,2016,4103.554,81.5,54681.714503,FIN
Finland,2017,4215.309,81.7,54681.714503,FIN
Finland,2018,4330.443,81.8,54681.714503,FIN
Finland,2019,4382.414,82.1,54681.714503,FIN
Finland,2020,4565.507,82.0,54681.714503,FIN
France,1970,192.143,72.2,50543.711372,FRA
France,1975,363.61,73.0,50543.711372,FRA
France,1980,659.826,74.3,50543.711372,FRA
France,1985,1001.145,75.4,50543.711372,FRA
France,1990,1459.11,77.0,50543.711372,FRA
France,1991,1558.033,77.2,50543.711372,FRA
France,1992,1651.139,77.5,50543.711372,FRA
France,1993,1753.485,77.5,50543.711372,FRA
France,1994,1817.042,78.0,50543.711372,FRA
France,1995,2100.918,78.1,50543.711372,FRA
France,1996,2169.451,78.2,50543.711372,FRA
France,1997,2236.595,78.6,50543.711372,FRA
France,1998,2321.931,78.8,50543.711372,FRA
France,1999,2431.303,78.9,50543.711372,FRA
France,2000,2687.53,79.2,50543.711372,FRA
France,2001,2875.294,79.3,50543.711372,FRA
France,2002,3152.016,79.4,50543.711372,FRA
France,2003,3056.265,79.3,50543.711372,FRA
France,2004,3170.947,80.4,50543.711372,FRA
France,2005,3264.574,80.4,50543.711372,FRA
France,2006,3444.855,81.0,50543.711372,FRA
France,2007,3588.227,81.3,50543.711372,FRA
France,2008,3729.353,81.4,50543.711372,FRA
France,2009,3880.842,81.6,50543.711372,FRA
France,2010,4045.065,81.9,50543.711372,FRA
France,2011,4161.698,82.3,50543.711372,FRA
France,2012,4299.434,82.1,50543.711372,FRA
France,2013,4544.964,82.4,50543.711372,FRA
France,2014,4626.679,82.9,50543.711372,FRA
France,2015,4667.156,82.4,50543.711372,FRA
France,2016,4928.128,82.7,50543.711372,FRA
France,2017,5005.756,82.7,50543.711372,FRA
France,2018,5099.306,82.8,50543.711372,FRA
France,2019,5167.839,83.0,50543.711372,FRA
France,2020,5468.418,82.3,50543.711372,FRA
Germany,1970,252.311,70.6,57880.471333,DEU
Germany,1971,298.251,70.8,57880.471333,DEU
Germany,1972,337.364,71.0,57880.471333,DEU
Germany,1973,384.541,71.3,57880.471333,DEU
Germany,1974,452.744,71.5,57880.471333,DEU
Germany,1975,532.481,71.4,57880.471333,DEU
Germany,1976,591.098,71.8,57880.471333,DEU
Germany,1977,647.352,72.5,57880.471333,DEU
Germany,1978,729.457,72.4,57880.471333,DEU
Germany,1979,800.703,72.8,57880.471333,DEU
Germany,1980,908.166,72.9,57880.471333,DEU
Germany,1981,1014.713,73.2,57880.471333,DEU
Germany,1982,1044.528,73.5,57880.471333,DEU
Germany,1983,1104.594,73.8,57880.471333,DEU
Germany,1984,1196.56,74.3,57880.471333,DEU
Germany,1985,1298.555,75.1,57880.471333,DEU
Germany,1986,1386.51,75.3,57880.471333,DEU
Germany,1987,1480.096,75.8,57880.471333,DEU
Germany,1988,1616.349,76.0,57880.471333,DEU
Germany,1989,1596.16,76.1,57880.471333,DEU
Germany,1990,1724.332,77.4,57880.471333,DEU
Germany,1992,2019.308,76.2,57880.471333,DEU
Germany,1993,2040.313,76.2,57880.471333,DEU
Germany,1994,2188.676,76.6,57880.471333,DEU
Germany,1995,2349.145,76.7,57880.471333,DEU
Germany,1996,2480.217,77.0,57880.471333,DEU
Germany,1997,2496.201,77.4,57880.471333,DEU
Germany,1998,2566.003,77.8,57880.471333,DEU
Germany,1999,2697.878,78.0,57880.471333,DEU
Germany,2000,2895.533,78.3,57880.471333,DEU
Germany,2001,3009.368,78.6,57880.471333,DEU
Germany,2002,3239.77,78.6,57880.471333,DEU
Germany,2003,3329.374,78.6,57880.471333,DEU
Germany,2004,3391.521,79.3,57880.471333,DEU
Germany,2005,3429.955,79.4,57880.471333,DEU
Germany,2006,3567.061,79.9,57880.471333,DEU
Germany,2007,3750.787,80.1,57880.471333,DEU
Germany,2008,3955.136,80.2,57880.471333,DEU
Germany,2009,4158.266,80.3,57880.471333,DEU
Germany,2010,4423.07,80.5,57880.471333,DEU
Germany,2011,4566.678,80.6,57880.471333,DEU
Germany,2012,4745.546,80.7,57880.471333,DEU
Germany,2013,4951.677,80.6,57880.471333,DEU
Germany,2014,5151.709,81.2,57880.471333,DEU
Germany,2015,5295.975,80.7,57880.471333,DEU
Germany,2016,5669.064,81.0,57880.471333,DEU
Germany,2017,5970.163,81.1,57880.471333,DEU
Germany,2018,6281.84,81.0,57880.471333,DEU
Germany,2019,6407.928,81.3,57880.471333,DEU
Germany,2020,6938.983,81.1,57880.471333,DEU
Germany,2021,7382.634,80.9,57880.471333,DEU
Iceland,1970,166.011,73.8,57614.693442,ISL
Iceland,1971,221.847,73.5,57614.693442,ISL
Iceland,1972,243.389,74.4,57614.693442,ISL
Iceland,1973,257.902,74.4,57614.693442,ISL
Iceland,1974,338.315,74.4,57614.693442,ISL
Iceland,1975,359.105,75.5,57614.693442,ISL
Iceland,1976,381.289,76.9,57614.693442,ISL
Iceland,1977,451.882,76.3,57614.693442,ISL
Iceland,1978,557.895,76.6,57614.693442,ISL
Iceland,1980,721.81,76.8,57614.693442,ISL
Iceland,1981,822.528,76.4,57614.693442,ISL
Iceland,1982,925.273,77.0,57614.693442,ISL
Iceland,1983,984.268,76.7,57614.693442,ISL
Iceland,1984,962.924,77.6,57614.693442,ISL
Iceland,1985,1046.257,77.6,57614.693442,ISL
Iceland,1986,1248.18,78.0,57614.693442,ISL
Iceland,1987,1472.035,77.3,57614.693442,ISL
Iceland,1988,1597.375,77.1,57614.693442,ISL
Iceland,1989,1557.328,78.2,57614.693442,ISL
Iceland,1990,1575.185,78.1,57614.693442,ISL
Iceland,1991,1662.582,78.0,57614.693442,ISL
Iceland,1992,1665.65,78.8,57614.693442,ISL
Iceland,1993,1697.821,79.0,57614.693442,ISL
Iceland,1994,1751.593,79.3,57614.693442,ISL
Iceland,1995,1810.686,78.0,57614.693442,ISL
Iceland,1996,1886.532,78.8,57614.693442,ISL
Iceland,1997,2019.116,78.9,57614.693442,ISL
Iceland,1998,2334.404,79.7,57614.693442,ISL
Iceland,1999,2575.561,79.4,57614.693442,ISL
Iceland,2000,2658.937,79.7,57614.693442,ISL
Iceland,2001,2751.066,80.7,57614.693442,ISL
Iceland,2002,3057.131,80.6,57614.693442,ISL
Iceland,2003,3106.92,81.0,57614.693442,ISL
Iceland,2004,3262.487,81.1,57614.693442,ISL
Iceland,2005,3280.772,81.5,57614.693442,ISL
Iceland,2006,3394.032,81.2,57614.693442,ISL
Iceland,2007,3559.775,81.5,57614.693442,ISL
Iceland,2008,3612.468,81.6,57614.693442,ISL
Iceland,2009,3480.941,81.8,57614.693442,ISL
Iceland,2010,3264.284,81.9,57614.693442,ISL
Iceland,2011,3312.455,82.4,57614.693442,ISL
Iceland,2012,3399.002,83.0,57614.693442,ISL
Iceland,2013,3498.071,82.1,57614.693442,ISL
Iceland,2014,3599.617,82.9,57614.693442,ISL
Iceland,2015,3733.352,82.5,57614.693442,ISL
Iceland,2016,3932.095,82.2,57614.693442,ISL
Iceland,2017,4111.255,82.6,57614.693442,ISL
Iceland,2018,4235.661,82.9,57614.693442,ISL
Iceland,2019,4318.269,83.2,57614.693442,ISL
Iceland,2020,4620.158,83.1,57614.693442,ISL
Iceland,2021,5096.439,83.2,57614.693442,ISL
